Tab,Title,Duration,Lessons,Link,Description,Cost
Popular,Microsoft Excel: Formulas & Functions,2.45 Hours,32 Lessons,https://courses.analyticsvidhya.com/courses/microsoft-excel-formulas-functions?ref=new_page_popular,"Microsoft Excel: Formulas & FunctionsMicrosoft Excel is still the tool of choice in the industry when it comes to performing data analysis, thanks to its incredible depth and array of formulas and functions. This course covers a wide range of Excel formulas, including LookUp Functions!Enroll for free",FREE
Popular,Introduction to Python,60 Mins,20 Lessons,https://courses.analyticsvidhya.com/courses/introduction-to-data-science?ref=new_page_popular,"Introduction to PythonPower up your career with the best and most popular data science language, Python. Leverage your Python skills to start your Data Science journey. This course is intended for beginners with no coding or Data Science background.Enroll for free",FREE
Popular,Machine Learning Certification Course for Beginners,,,https://courses.analyticsvidhya.com/courses/Machine-Learning-Certification-Course-for-Beginners?ref=new_page_popular,"Machine Learning Certification Course for BeginnersIn this free machine learning certification course, you will learn Python, the basics of machine learning, how to build machine learning models, and feature engineering techniques to improve the performance of your machine learning models.Enroll for free",FREE
Popular,Improving Real-World RAG Systems: Key Challenges & Practical Solutions,51 Mins,12 Lessons,https://courses.analyticsvidhya.com/courses/improving-real-world-rag-systems-key-challenges?ref=new_page_popular,"Improving Real World RAG Systems: Key Challenges & Practical SolutionsMaster key challenges in real-world Retrieval-Augmented Generation (RAG) systems. Explore practical solutions, advanced retrieval strategies, and agentic RAG systems to improve context, relevance, and accuracy in AI-driven applications.Enroll for free",FREE
Popular,Generative AI - A Way of Life - Free Course,6 Hours,30 Lessons,https://courses.analyticsvidhya.com/courses/genai-a-way-of-life?ref=new_page_popular,"Generative AI - A Way of Life - Free CourseEmbark on a journey into Generative AI for beginners. Learn AI-powered text and image generation, use top AI tools, and explore industry applications. Gain practical skills, understand ethical practices, and master prompting techniques.Enroll for free",FREE
Popular,Getting Started with Large Language Models,60 Mins,16 Lessons,https://courses.analyticsvidhya.com/courses/getting-started-with-llms?ref=new_page_popular,Getting Started with Large Language ModelsEmbarking on a journey into Large Language Models (LLMs) can be seamless with the right approach. This course offers an optimal pathway to delve into the intricacies of natural language processing and model training.Enroll for free,FREE
Popular,Building LLM Applications using Prompt Engineering - Free Course,2 Hours,17 Lessons,https://courses.analyticsvidhya.com/courses/building-llm-applications-using-prompt-engineering-free?ref=new_page_popular,"Building LLM Applications using Prompt Engineering - Free CourseThis free course offers a comprehensive guide on building LLM applications, mastering prompt engineering, implementing best practices, and developing chatbots using enterprise data using advanced techniques like few-shot or one-shot promptingEnroll for free",FREE
Popular,Getting started with Decision Trees,60 Mins,20 Lessons,https://courses.analyticsvidhya.com/courses/getting-started-with-decision-trees?ref=new_page_popular,Getting started with Decision TreesDecision Tree algorithm is one of the most powerful algorithm in Machine Learning. Decision trees are used by beginners/ experts to build machine learning models. This course provides you everything about Decision Trees & their Python implementation.Enroll for free,FREE
Popular,Introduction to Natural Language Processing,5 Hours,20 Lessons,https://courses.analyticsvidhya.com/courses/Intro-to-NLP?ref=new_page_popular,"Introduction to Natural Language ProcessingNatural Language Processing (NLP) is the art of extracting information from unstructured text. This course teaches you basics of NLP, Regular Expressions and Text Preprocessing.Enroll for free",FREE
Popular,Tableau for Beginners,15 Mins,17 Lessons,https://courses.analyticsvidhya.com/courses/tableau-for-beginners?ref=new_page_popular,"Tableau for BeginnersTableau is the tool of choice for business intelligence, analytics and data visualization experts. Learn how to use Tableau, the different features of Tableau, and start building impactful visualization using this Tableau tutorial!Enroll for free",FREE
Popular,"Data Science Hacks, Tips and Tricks",30 Mins,36 Lessons,https://courses.analyticsvidhya.com/courses/data-science-hacks-tips-and-tricks?ref=new_page_popular,"Data Science Hacks, Tips and TricksLearn key data science hacks, tips and tricks to become a better and more efficient data scientist. These data science hacks cover a wide range of data science topics like speeding up Python code, optimizing your data science algorithm and much more!Enroll for free",FREE
Popular,A Comprehensive Learning Path to Become a Data Scientist in 2024,,,https://courses.analyticsvidhya.com/courses/a-comprehensive-learning-path-to-become-a-data-scientist-in-twenty-twenty-four?ref=new_page_popular,"A Comprehensive Learning Path to Become a Data Scientist in 2024Want to become a data scientist this year, but confused about where to start and what to follow? This comprehensive learning path from Analytics Vidhya should provide you with all the answers you need!Enroll for free",FREE
GenAI,GenAI - A Way of Life - Free Course,6 Hours,30 Lessons,https://courses.analyticsvidhya.com/courses/genai-a-way-of-life?ref=new_page_GenAI,"Generative AI - A Way of Life - Free CourseEmbark on a journey into Generative AI for beginners. Learn AI-powered text and image generation, use top AI tools, and explore industry applications. Gain practical skills, understand ethical practices, and master prompting techniques.Enroll for free",FREE
GenAI,Getting Started with Large Language Models,60 Mins,16 Lessons,https://courses.analyticsvidhya.com/courses/getting-started-with-llms?ref=new_page_GenAI,Getting Started with Large Language ModelsEmbarking on a journey into Large Language Models (LLMs) can be seamless with the right approach. This course offers an optimal pathway to delve into the intricacies of natural language processing and model training.Enroll for free,FREE
GenAI,Building LLM Applications using Prompt Engineering - Free Course,2 Hours,17 Lessons,https://courses.analyticsvidhya.com/courses/building-llm-applications-using-prompt-engineering-free?ref=new_page_GenAI,"Building LLM Applications using Prompt Engineering - Free CourseThis free course offers a comprehensive guide on building LLM applications, mastering prompt engineering, implementing best practices, and developing chatbots using enterprise data using advanced techniques like few-shot or one-shot promptingEnroll for free",FREE
GenAI,Building Your first RAG System using LlamaIndex - Free Course,60 Mins,12 Lessons,https://courses.analyticsvidhya.com/courses/building-first-rag-systems-using-llamaindex?ref=new_page_GenAI,Building Your first RAG System using LlamaIndex - Free CourseDive into the sea of Retrieval Augmented Generation with this free course that will help you build your first RAG model with the popular LlamaIndex.Enroll for free,FREE
GenAI,Improving Real-World RAG Systems: Key Challenges & Practical Solutions,51 Mins,12 Lessons,https://courses.analyticsvidhya.com/courses/improving-real-world-rag-systems-key-challenges?ref=new_page_GenAI,"Improving Real World RAG Systems: Key Challenges & Practical SolutionsMaster key challenges in real-world Retrieval-Augmented Generation (RAG) systems. Explore practical solutions, advanced retrieval strategies, and agentic RAG systems to improve context, relevance, and accuracy in AI-driven applications.Enroll for free",FREE
GenAI,Creating Problem-Solving Agents using GenAI for Action Composition,44 Mins,6 Lessons,https://courses.analyticsvidhya.com/courses/creating-problem-solving-agents-using-genai-for-action-composition?ref=new_page_GenAI,Creating Problem-Solving Agents using GenAI for Action CompositionDiscover how Generative AI is revolutionizing Agentic AI systems to solve complex real-world problems.Enroll for free,FREE
GenAI,Framework to choose the right LLM for your Business,32 Mins,5 Lessons,https://courses.analyticsvidhya.com/courses/take/choosing-the-right-LLM-for-your-business/lessons/58630591-conclusion?ref=new_page_GenAI,Download AppAnalytics VidhyaAbout UsOur TeamCareersContact usData ScienceCommunityBlogHackathonApply JobsCompaniesPost JobsTrainingsHiring HackathonsAdvertisingVisit us© Copyright 2013-2022 Analytics VidhyaPrivacy PolicyTerms of UseRefund Policy,FREE
GenAI,Exploring Stability.AI,60 Mins,7 Lessons,https://courses.analyticsvidhya.com/courses/exploring-stability-ai?ref=new_page_GenAI,"Exploring Stability.AI - Free CourseExplore Stability.AI with this free course providing hands-on experience. Learn to deploy SD WebUI, use Automatic WebUI on RunPod GPU environments, and master installation, setup, generation, and customization of SD.Enroll for free",FREE
GenAI,MidJourney: From Inspiration to Implementation,33 Mins,5 Lessons,https://courses.analyticsvidhya.com/courses/midjourney_from_inspiration_to_implementation?ref=new_page_GenAI,MidJourney: From Inspiration to Implementation - Free CourseUnderstand the fundamentals of the famous image generation tool - Midjourney in this free course. You will learn the various components of Midjourney and how to use it to bring your imaginations to real world.Enroll for free,FREE
GenAI,Nano Course: Dreambooth-Stable Diffusion for Custom Images,60 Mins,13 Lessons,https://courses.analyticsvidhya.com/courses/nano-course-dreambooth-stable-diffusion-for-custom-images?ref=new_page_GenAI,"Nano Course: Dreambooth-Stable Diffusion for Custom ImagesTheory to Practice: Dive into Stable Diffusion, its history, and significance, then master the Dreambooth process. Learn how to fine-tune Dreambooth model with your custom images discussing step by step in detail.Enroll for free",FREE
GenAI,Nano Course: Building Large Language Models for Code,38 Mins,10 Lessons,https://courses.analyticsvidhya.com/courses/building-large-language-models-for-code?ref=new_page_GenAI,"Nano Course: Building Large Language Models for CodeLearn how to train Large Language Models for Code from Scratch covering each step involved in detail from training data curation to model evaluation. Deep dive into the journey of creating Starcoder, a 15B parameter code generation model.Enroll for free",FREE
GenAI,Nano Course: Cutting Edge LLM Tricks,38 Mins,12 Lessons,https://courses.analyticsvidhya.com/courses/cutting-edge-llm-tricks?ref=new_page_GenAI,Nano Course: Cutting Edge LLM TricksLearn cutting edge LLM tricks and techniques from top research papers including DeepMind and Meta AI and apply these tricks in building your own state of the art LLMs.Enroll for free,FREE
Machine Learning,Introduction to AI & ML,1.5 Hours,17 Lessons,https://courses.analyticsvidhya.com/courses/introduction-to-ai-ml?ref=new_page_ML,"Introduction to AI & MLArtificial Intelligence (AI) and Machine Learning (ML) are changing the world around us. From functions to industries, AI and ML are disrupting how we work and how we function. Get to know all about the different facets of AI and ML in this course.Enroll for free",FREE
Machine Learning,Machine Learning Certification Course for Beginners,,,https://courses.analyticsvidhya.com/courses/Machine-Learning-Certification-Course-for-Beginners?ref=new_page_ML,"Machine Learning Certification Course for BeginnersIn this free machine learning certification course, you will learn Python, the basics of machine learning, how to build machine learning models, and feature engineering techniques to improve the performance of your machine learning models.Enroll for free",FREE
Machine Learning,Understanding Linear Regression - Free Course,50 Mins,10 Lessons,https://courses.analyticsvidhya.com/courses/free-understanding-linear-regression?ref=new_page_ML,Understanding Linear Regression - Free CourseLinear Regression is one of the foundational algorithms used in the industry to make predictions for regression problems. In this free course let us understand Linear Regression using a Business Case StudyEnroll for free,FREE
Machine Learning,Fundamentals of Regression Analysis,40 Mins,24 Lessons,https://courses.analyticsvidhya.com/courses/Fundamentals-of-Regression-Analysis?ref=new_page_ML,"Fundamentals of Regression AnalysisWhat is regression analysis? What are the different types of regression? What’s the difference between linear regression, logistic regression, ridge and lasso regression? This course on fundamentals of regression analysis will clear all your doubts!Enroll for free",FREE
Machine Learning,K-Nearest Neighbors (KNN) Algorithm in Python and R,30 Mins,10 Lessons,https://courses.analyticsvidhya.com/courses/K-Nearest-Neighbors-KNN-Algorithm?ref=new_page_ML,"K-Nearest Neighbors (KNN) Algorithm in Python and RA practical hands-on tutorial on the K-Nearest Neighbor (KNN) algorithm in both Python and R. This course covers everything you want to learn about KNN, including understanding how the KNN algorithm works and how to implement it.Enroll for free",FREE
Machine Learning,Getting started with Decision Trees,60 Mins,20 Lessons,https://courses.analyticsvidhya.com/courses/getting-started-with-decision-trees?ref=new_page_ML,Getting started with Decision TreesDecision Tree algorithm is one of the most powerful algorithm in Machine Learning. Decision trees are used by beginners/ experts to build machine learning models. This course provides you everything about Decision Trees & their Python implementation.Enroll for free,FREE
Machine Learning,Naive Bayes from Scratch,30 Mins,16 Lessons,https://courses.analyticsvidhya.com/courses/naive-bayes?ref=new_page_ML,"Naive Bayes from ScratchNaive Bayes is a popular and widely used machine learning algorithm for classification problems. Learn what is Naive Bayes, how a Naive Bayes classifier works, and implement Naive Bayes yourself in this course!Enroll for free",FREE
Machine Learning,Evaluation Metrics for Machine Learning Models,60 Mins,25 Lessons,https://courses.analyticsvidhya.com/courses/evaluation-metrics-for-machine-learning-models?ref=new_page_ML,Evaluation Metrics for Machine Learning ModelsWhat are evaluation metrics in machine learning? What are the different types of evaluation metrics? How do you gauge and improve your machine learning model? This course will teach you all about evaluation metrics for machine learning models!Enroll for free,FREE
Machine Learning,Dimensionality Reduction for Machine Learning,30 Mins,23 Lessons,https://courses.analyticsvidhya.com/courses/dimensionality-reduction-for-machine-learning?ref=new_page_ML,"Dimensionality Reduction for Machine LearningDimensionality reduction is a key concept in machine learning. This course covers several dimensionality reduction techniques that every data scientist should know, including Principal Component Analysis (PCA) and Factor Analysis, among others!Enroll for free",FREE
Machine Learning,Bagging and Boosting ML Algorithms - Free Course,60 Mins,16 Lessons,https://courses.analyticsvidhya.com/courses/bagging-boosting-ML-Algorithms?ref=new_page_ML,Bagging and Boosting ML Algorithms - Free CourseThis free course on Advanced ML Algorithms - Bagging and Boosting is perfect place to get a taste of how advanced ML algorithms look like and function on a real-world business problem.Enroll for free,FREE
Machine Learning,The A to Z of Unsupervised ML - Free Course,52 Mins,13 Lessons,https://courses.analyticsvidhya.com/courses/free-unsupervised-ml-guide?ref=new_page_ML,The A to Z of Unsupervised ML - Free CourseGet ahead of the crowd with this free course on Unsupervised Machine Learning Models. We will be covering popular clustering algorithms and DBSCAN and show you its applications on a real-world business problem.Enroll for free,FREE
Machine Learning,Data Preprocessing on a Real-World Problem Statement - Free Course,60 Mins,13 Lessons,https://courses.analyticsvidhya.com/courses/data-preprocessing?ref=new_page_ML,Data Preprocessing on a Real-World Problem Statement - Free CourseKickstarting your career in Data Science can be easy with the right guide. This free course will serve as the perfect path to help beginners navigate the complex terrain of Data Preprocessing and prepare any data for modelling.Enroll for free,FREE
Deep Learning,Introduction to Natural Language Processing,5 Hours,20 Lessons,https://courses.analyticsvidhya.com/courses/Intro-to-NLP?ref=new_page_DL,"Introduction to Natural Language ProcessingNatural Language Processing (NLP) is the art of extracting information from unstructured text. This course teaches you basics of NLP, Regular Expressions and Text Preprocessing.Enroll for free",FREE
Deep Learning,Getting Started with Neural Networks,70 Mins,46 Lessons,https://courses.analyticsvidhya.com/courses/getting-started-with-neural-networks?ref=new_page_DL,"Getting Started with Neural NetworksKick start your journey in deep learning with Analytics Vidhya's Introduction to Neural Networks course! Learn how a neural network works and its different applications in the field of Computer Vision, Natural Language Processing and more.Enroll for free",FREE
Deep Learning,Exploring Natural Language Processing (NLP) using Deep Learning,4.15 Hours,91 Lessons,https://courses.analyticsvidhya.com/courses/exploring-natural-language-processing-nlp-using-deep-learning?ref=new_page_DL,"Exploring Natural Language Processing (NLP) using Deep LearningNatural Language Processing (NLP) is the art of extracting information from unstructured text. This course teaches you the latest developments in Natural Language Processing like BERT, Transformers using PyTorch.Enroll for free",FREE
Deep Learning,Building a Text Classification Model with Natural Language Processing - Free Course,1.15 Hours,16 Lessons,https://courses.analyticsvidhya.com/courses/free-building-textclassification-natural-language-processing?ref=new_page_DL,"Building a Text Classification Model with Natural Language Processing - Free CourseExplore the essentials of NLP with our comprehensive course! Learn text classification, NLP models with PyTorch, and real-world applications. Perfect for beginners and professionals alike, dive into AI-driven text analysis and hands-on projects.Enroll for free",FREE
Deep Learning,Getting Started with Deep Learning,,,https://courses.analyticsvidhya.com/courses/getting-started-with-deep-learning?ref=new_page_DL,"Getting Started with Deep LearningWhat is deep learning? How can you get started with deep learning? This comprehensive course will provide you with everything you need to know about deep learning with Python, including a deep dive into neural networks!Enroll for free",FREE
Deep Learning,Building Your First Computer Vision Model - Free Course,34 Mins,7 Lessons,https://courses.analyticsvidhya.com/courses/building-your-first-computer-vision-model?ref=new_page_DL,Building Your First Computer Vision Model - Free CourseEmbarking on a career in Computer Vision can be straightforward with the right guidance. This course provides an ideal pathway to master the complexities of image data analysis.Enroll for free,FREE
Deep Learning,Introduction to PyTorch for Deep Learning,60 Mins,28 Lessons,https://courses.analyticsvidhya.com/courses/introduction-to-pytorch-for-deeplearning?ref=new_page_DL,Introduction to PyTorch for Deep LearningPyTorch is a popular and leading deep learning framework. But what exactly is PyTorch? How does PyTorch work? How can you use PyTorch to build deep learning models? This PyTorch tutorial course will help you answer these questions in detail.Enroll for free,FREE
Deep Learning,Introduction to Cloud,17 Mins,7 Lessons,https://courses.analyticsvidhya.com/courses/introduction-to-cloud?ref=new_page_DL,Introduction to CloudAre you looking to learn about the market leader in cloud computing? AWS is a leading cloud service provider that most organizations are looking to for their cloud solutions. A significant number of job openings require you to have AWS skills.Enroll for free,FREE
Data Analytics,Introduction to Python,60 Mins,20 Lessons,https://courses.analyticsvidhya.com/courses/introduction-to-data-science?ref=new_page_DA,"Introduction to PythonPower up your career with the best and most popular data science language, Python. Leverage your Python skills to start your Data Science journey. This course is intended for beginners with no coding or Data Science background.Enroll for free",FREE
Data Analytics,Pandas for Data Analysis in Python,30 Mins,25 Lessons,https://courses.analyticsvidhya.com/courses/pandas-for-data-analysis-in-python?ref=new_page_DA,Pandas for Data Analysis in PythonWhat is Pandas? How can you perform data analysis and data manipulation using Pandas in Python? Learn how to work with Pandas in this superb free course and master the most popular Python library in data science.Enroll for free,FREE
Data Analytics,Microsoft Excel: Formulas & Functions,2.45 Hours,32 Lessons,https://courses.analyticsvidhya.com/courses/microsoft-excel-formulas-functions?ref=new_page_DA,"Microsoft Excel: Formulas & FunctionsMicrosoft Excel is still the tool of choice in the industry when it comes to performing data analysis, thanks to its incredible depth and array of formulas and functions. This course covers a wide range of Excel formulas, including LookUp Functions!Enroll for free",FREE
Data Analytics,Introduction to Data Visualization,19 Mins,6 Lessons,https://courses.analyticsvidhya.com/courses/introduction-to-data-visualisation?ref=new_page_DA,Introduction to Data VisualizationAre you looking to learn about the market leader in cloud computing? AWS is a leading cloud service provider that most organizations are looking to for their cloud solutions. A significant number of job openings require you to have AWS skills.Enroll for free,FREE
Data Analytics,Introduction to Business Analytics,57 Mins,32 Lessons,https://courses.analyticsvidhya.com/courses/introduction-to-analytics?ref=new_page_DA,Introduction to Business AnalyticsBusiness analytics is thriving – and so is its role in forward-thinking organizations around the world. The demand for business analytics professionals is growing multifold - and now is the time to start working towards your desired career.Enroll for free,FREE
Data Analytics,Tableau for Beginners,15 Mins,17 Lessons,https://courses.analyticsvidhya.com/courses/tableau-for-beginners?ref=new_page_DA,"Tableau for BeginnersTableau is the tool of choice for business intelligence, analytics and data visualization experts. Learn how to use Tableau, the different features of Tableau, and start building impactful visualization using this Tableau tutorial!Enroll for free",FREE
Data Analytics,Building Data Stories using Excel and Tableau,,,https://courses.analyticsvidhya.com/courses/Building-Data-Stories-using-Excel-Tableau?ref=new_page_DA,"Building Data Stories using Excel and TableauMS Excel is the most widely used tool for day to day analysis across the world. By the end of this course, you will have mastered Excel, Pivot Tables, Conditional Formatting and will be ready to crunch numbers like a pro!Enroll for free",FREE
